Date,Symbol,Contract Name,Price,,,
01/03/2013,NFK13,ICE Natural Gas May 2013 Futures,65.32,,,
01/04/2013,NFM13,ICE Natural Gas June 2013 Futures,65.16,,,
01/05/2013,NFN13,ICE Natural Gas July 2013 Futures,63.37,,,
01/06/2013,NFQ13,ICE Natural Gas August 2013 Futures,66.09,,,
01/07/2013,NFU13,ICE Natural Gas September 2013 Futures,63.9,,,
01/08/2013,NFV13,ICE Natural Gas October 2013 Futures,65.74,,,
01/09/2013,NFX13,ICE Natural Gas November 2013 Futures,68.35,,,
01/10/2013,NFZ13,ICE Natural Gas December 2013 Futures,71.05,,,
01/11/2013,NFF14,ICE Natural Gas January 2014 Futures,69.18,,,
01/12/2013,NFG14,ICE Natural Gas February 2014 Futures,62.31,,,
01/01/2014,NFH14,ICE Natural Gas March 2014 Futures,56.95,,,
01/02/2014,NFJ14,ICE Natural Gas April 2014 Futures,52.5,,,
01/03/2014,NFK14,ICE Natural Gas May 2014 Futures,47.46,,,
01/04/2014,NFM14,ICE Natural Gas June 2014 Futures,41.63,,,
01/05/2014,NFN14,ICE Natural Gas July 2014 Futures,39.12,,,
01/06/2014,NFQ14,ICE Natural Gas August 2014 Futures,39.7,,,
01/07/2014,NFU14,ICE Natural Gas September 2014 Futures,45.04,,,
01/08/2014,NFV14,ICE Natural Gas October 2014 Futures,51.33,,,
01/09/2014,NFX14,ICE Natural Gas November 2014 Futures,52.95,,,
01/10/2014,NFZ14,ICE Natural Gas December 2014 Futures,58.58,,,
01/11/2014,NFF15,ICE Natural Gas January 2015 Futures,50.28,,,
01/12/2014,NFG15,ICE Natural Gas February 2015 Futures,47.88,,,
01/01/2015,NFH15,ICE Natural Gas March 2015 Futures,53.03,,,
01/02/2015,NFJ15,ICE Natural Gas April 2015 Futures,48.24,,,
01/03/2015,NFK15,ICE Natural Gas May 2015 Futures,44.05,,,
01/04/2015,NFM15,ICE Natural Gas June 2015 Futures,42.13,,,
01/05/2015,NFN15,ICE Natural Gas July 2015 Futures,42.17,,,
01/06/2015,NFQ15,ICE Natural Gas August 2015 Futures,42.84,,,
01/07/2015,NFU15,ICE Natural Gas September 2015 Futures,39.47,,,
01/08/2015,NFV15,ICE Natural Gas October 2015 Futures,40.27,,,
01/09/2015,NFX15,ICE Natural Gas November 2015 Futures,39.13,,,
01/10/2015,NFZ15,ICE Natural Gas December 2015 Futures,37.33,,,
01/11/2015,NFF16,ICE Natural Gas January 2016 Futures,33.48,,,
01/12/2015,NFG16,ICE Natural Gas February 2016 Futures,31.58,,,
01/01/2016,NFH16,ICE Natural Gas March 2016 Futures,29.85,,,
01/02/2016,NFJ16,ICE Natural Gas April 2016 Futures,29.3,,,
01/03/2016,NFK16,ICE Natural Gas May 2016 Futures,29.37,,,
01/04/2016,NFM16,ICE Natural Gas June 2016 Futures,31.27,,,
01/05/2016,NFN16,ICE Natural Gas July 2016 Futures,33.76,,,
01/06/2016,NFQ16,ICE Natural Gas August 2016 Futures,36.16,,,
01/07/2016,NFU16,ICE Natural Gas September 2016 Futures,28.82,,,
01/08/2016,NFV16,ICE Natural Gas October 2016 Futures,37.05,,,
01/09/2016,NFX16,ICE Natural Gas November 2016 Futures,48.05,,,
01/10/2016,NFZ16,ICE Natural Gas December 2016 Futures,48.71,,,
01/11/2016,NFF17,ICE Natural Gas January 2017 Futures,51.51,,,
01/12/2016,NFG17,ICE Natural Gas February 2017 Futures,54.09,,,
01/01/2017,NFH17,ICE Natural Gas March 2017 Futures,44.86,,,
01/02/2017,NFJ17,ICE Natural Gas April 2017 Futures,40.9,,,
01/03/2017,NFK17,ICE Natural Gas May 2017 Futures,39.29,,,
01/04/2017,NFM17,ICE Natural Gas June 2017 Futures,37.27,,,
01/05/2017,NFN17,ICE UK Natural Gas July 2017 Futures,36.6,,,
01/06/2017,NFQ17,ICE UK Natural Gas August 2017 Futures,38.56,,,
01/07/2017,NFU17,ICE UK Natural Gas September 2017 Futures,45.41,,,
01/08/2017,NFV17,ICE UK Natural Gas October 2017 Futures,46.45,,,
01/09/2017,NFX17,ICE UK Natural Gas November 2017 Futures,47.6,,,
01/10/2017,NFZ17,ICE UK Natural Gas December 2017 Futures,56.3,,,
01/11/2017,NFF18,ICE UK Natural Gas January 2018 Futures,56.32,,,
01/12/2017,NFG18,ICE UK Natural Gas February 2018 Futures,47.63,,,
01/01/2018,NFH18,ICE UK Natural Gas March 2018 Futures,52.67,,,
01/02/2018,NFJ18,ICE UK Natural Gas April 2018 Futures,48.63,,,
01/03/2018,NFK18,ICE UK Natural Gas May 2018 Futures,52.63,,,
01/04/2018,NFM18,ICE UK Natural Gas June 2018 Futures,59,,,
01/05/2018,NFN18,ICE UK Natural Gas July 2018 Futures,53.71,,,
01/06/2018,NFQ18,ICE UK Natural Gas August 2018 Futures,58.34,,,
01/07/2018,NFU18,ICE UK Natural Gas September 2018 Futures,69.52,,,
01/08/2018,NFV18,ICE UK Natural Gas October 2018 Futures,72.63,,,
01/09/2018,NFX18,ICE UK Natural Gas November 2018 Futures,64.88,,,
01/10/2018,NFZ18,ICE UK Natural Gas December 2018 Futures,66.26,,,
01/11/2018,NFF19,ICE UK Natural Gas January 2019 Futures,62.63,,,
01/12/2018,NFG19,ICE UK Natural Gas February 2019 Futures,54.06,,,
01/01/2019,NFH19,ICE UK Natural Gas March 2019 Futures,44.89,,,
01/02/2019,NFJ19,ICE UK Natural Gas April 2019 Futures,36.05,,,
01/03/2019,NFK19,ICE UK Natural Gas May 2019 Futures,34.07,,,
01/04/2019,NFM19,ICE UK Natural Gas June 2019 Futures,28.28,,,
01/05/2019,NFN19,ICE UK Natural Gas July 2019 Futures,24.18,,,
01/06/2019,NFQ19,ICE UK Natural Gas August 2019 Futures,27.93,,,
01/07/2019,NFU19,ICE UK Natural Gas September 2019 Futures,30.07,,,
01/08/2019,NFV19,ICE UK Natural Gas October 2019 Futures,30.65,,,
01/09/2019,NFX19,ICE UK Natural Gas November 2019 Futures,36.09,,,
01/10/2019,NFZ19,ICE UK Natural Gas December 2019 Futures,40.84,,,
01/11/2019,NFF20,ICE UK Natural Gas January 2020 Futures,31.84,,,
01/12/2019,NFG20,ICE UK Natural Gas February 2020 Futures,25.34,,,
01/01/2020,NFH20,ICE UK Natural Gas March 2020 Futures,22.93,,,
01/02/2020,NFJ20,ICE UK Natural Gas April 2020 Futures,17,,,
01/03/2020,NFK20,ICE UK Natural Gas May 2020 Futures,13.24,,,
01/04/2020,NFM20,ICE UK Natural Gas June 2020 Futures,8.34,,,
01/05/2020,NFN20,ICE UK Natural Gas July 2020 Futures,15.97,,,
01/06/2020,NFQ20,ICE UK Natural Gas August 2020 Futures,13.46,,,
01/07/2020,NFU20,ICE UK Natural Gas September 2020 Futures,24.33,,,
01/08/2020,NFV20,ICE UK Natural Gas October 2020 Futures,34.26,,,
01/09/2020,NFX20,ICE UK Natural Gas November 2020 Futures,40.91,,,
01/10/2020,NFZ20,ICE UK Natural Gas December 2020 Futures,41.68,,,
01/11/2020,NFF21,ICE UK Natural Gas January 2021 Futures,55.82,,,
